Payment.Method,Railcard,Ticket.Class,Ticket.Type,Price,Departure.Station,Arrival.Station,Departure,Scheduled.Arrival,Actual.Arrival,Journey.Status,Reason.for.Delay,Refund.Request,Row_ID,MediumPrice
Credit Card,None,Standard,Advance,77,Liverpool Lime Street,London St Pancras,2024-01-28 10:15:00,2024-01-28 12:45:00,,Cancelled,Weather,1,7174,0
Debit Card,Adult,First Class,Advance,19,Birmingham New Street,Manchester Piccadilly,2024-01-28 11:15:00,2024-01-28 12:35:00,2024-01-28 12:49,Delayed,Technical Issue,1,7178,1
Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 11:00:00,2024-01-28 11:30:00,2024-01-28 13:01,Delayed,Staff-Related,0,7182,0
Credit Card,Adult,First Class,Advance,7,Liverpool Lime Street,Manchester Piccadilly,2024-01-28 11:15:00,2024-01-28 11:45:00,2024-01-28 12:19,Delayed,Technical Issue,0,7186,0
Debit Card,None,Standard,Off-Peak,126,Manchester Piccadilly,London Euston,2024-01-27 15:30:00,2024-01-27 17:20:00,2024-01-27 17:38,Delayed,Staff-Related,1,7213,0
Credit Card,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-27 17:45:00,2024-01-27 18:15:00,,Cancelled,Staff-Related,0,7227,0
Credit Card,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-27 17:45:00,2024-01-27 18:15:00,,Cancelled,Staff-Related,0,7228,0
Debit Card,Adult,Standard,Off-Peak,76,Liverpool Lime Street,London Euston,2024-01-27 17:30:00,2024-01-27 19:45:00,2024-01-27 20:00,Delayed,Technical Issue,1,7235,0
Debit Card,Adult,Standard,Advance,56,Manchester Piccadilly,London Euston,2024-01-28 17:30:00,2024-01-28 19:20:00,2024-01-28 19:32,Delayed,Technical Issue,1,7259,0
Credit Card,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 18:45:00,2024-01-28 19:15:00,,Cancelled,Staff-Related,0,7270,0
Contactless,None,Standard,Advance,13,London Paddington,Reading,2024-01-28 18:15:00,2024-01-28 19:15:00,,Cancelled,Weather,1,7276,1
Credit Card,None,Standard,Advance,3,Birmingham New Street,Coventry,2024-01-28 18:45:00,2024-01-28 19:05:00,,Cancelled,Traffic,1,7289,0
Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 18:45:00,2024-01-28 19:15:00,,Cancelled,Staff-Related,0,7292,0
Contactless,Adult,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 00:00:00,2024-01-28 00:30:00,,Cancelled,Signal Failure,0,7304,0
Contactless,Adult,First Class,Advance,6,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 00:00:00,2024-01-28 00:30:00,,Cancelled,Signal Failure,1,7307,0
Contactless,Adult,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 00:00:00,2024-01-28 00:30:00,,Cancelled,Signal Failure,0,7308,0
Credit Card,Adult,Standard,Advance,15,Birmingham New Street,London St Pancras,2024-01-28 00:15:00,2024-01-28 01:35:00,,Cancelled,Signal Failure,1,7309,1
Credit Card,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2024-01-28 05:45:00,2024-01-28 07:05:00,,Cancelled,Signal Failure,0,7339,1
Debit Card,None,Standard,Off-Peak,107,London Euston,Manchester Piccadilly,2024-01-28 06:30:00,2024-01-28 08:20:00,,Cancelled,Technical Issue,1,7351,0
Credit Card,None,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-02-09 03:30:00,2024-02-09 05:20:00,2024-02-09 05:50,Delayed,Weather,0,7352,0
Credit Card,Disabled,Standard,Off-Peak,5,York,Doncaster,2024-01-28 06:30:00,2024-01-28 07:00:00,2024-01-28 07:50,Delayed,Staff-Related,0,7353,0
Credit Card,None,Standard,Off-Peak,5,Liverpool Lime Street,Manchester Piccadilly,2024-01-28 06:45:00,2024-01-28 07:15:00,,Cancelled,Staff-Related,0,7356,0
Credit Card,None,Standard,Off-Peak,5,Liverpool Lime Street,Manchester Piccadilly,2024-01-28 06:45:00,2024-01-28 07:15:00,,Cancelled,Staff-Related,1,7357,0
Credit Card,None,Standard,Off-Peak,14,Reading,Swindon,2024-01-28 07:30:00,2024-01-28 08:15:00,,Cancelled,Weather,1,7362,1
Credit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-28 08:00:00,2024-01-28 10:15:00,2024-01-28 10:42,Delayed,Weather,0,7369,0
Credit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-28 08:00:00,2024-01-28 10:15:00,2024-01-28 10:42,Delayed,Weather,0,7370,0
Credit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-28 08:00:00,2024-01-28 10:15:00,2024-01-28 10:42,Delayed,Weather,0,7371,0
Credit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-28 08:00:00,2024-01-28 10:15:00,2024-01-28 10:42,Delayed,Weather,0,7372,0
Credit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-28 08:00:00,2024-01-28 10:15:00,2024-01-28 10:42,Delayed,Weather,0,7374,0
Credit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-28 08:00:00,2024-01-28 10:15:00,2024-01-28 10:42,Delayed,Weather,0,7376,0
Credit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-28 08:00:00,2024-01-28 10:15:00,2024-01-28 10:42,Delayed,Weather,0,7378,0
Credit Card,None,Standard,Off-Peak,126,Manchester Piccadilly,London Euston,2024-01-28 08:45:00,2024-01-28 10:35:00,,Cancelled,Technical Issue,0,7381,0
Credit Card,None,Standard,Off-Peak,26,London Paddington,Oxford,2024-01-28 07:45:00,2024-01-28 09:15:00,,Cancelled,Technical Issue,0,7385,1
Credit Card,None,Standard,Off-Peak,26,London Paddington,Oxford,2024-01-28 07:45:00,2024-01-28 09:15:00,,Cancelled,Technical Issue,0,7390,1
Credit Card,None,Standard,Off-Peak,26,London Paddington,Oxford,2024-01-28 07:45:00,2024-01-28 09:15:00,,Cancelled,Technical Issue,0,7391,1
Contactless,Adult,Standard,Off-Peak,10,Manchester Piccadilly,Leeds,2024-01-28 09:00:00,2024-01-28 09:45:00,2024-01-28 12:25,Delayed,Signal Failure,0,7393,0
Contactless,Senior,Standard,Off-Peak,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 09:15:00,2024-01-28 09:45:00,2024-01-28 10:29,Delayed,Weather,0,7396,0
Credit Card,Disabled,Standard,Advance,15,Birmingham New Street,London St Pancras,2024-01-29 06:30:00,2024-01-29 07:50:00,,Cancelled,Weather,1,7403,1
Credit Card,Disabled,Standard,Advance,15,Birmingham New Street,London St Pancras,2024-01-29 06:30:00,2024-01-29 07:50:00,,Cancelled,Weather,0,7404,1
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-29 08:00:00,2024-01-29 10:15:00,2024-01-29 11:06,Delayed,Weather,0,7428,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-29 08:00:00,2024-01-29 10:15:00,2024-01-29 11:06,Delayed,Weather,0,7429,0
Credit Card,None,First Class,Advance,118,Liverpool Lime Street,London Euston,2024-01-29 08:00:00,2024-01-29 10:15:00,2024-01-29 11:06,Delayed,Weather,0,7430,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-29 08:00:00,2024-01-29 10:15:00,2024-01-29 11:06,Delayed,Weather,0,7432,0
Debit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-28 11:15:00,2024-01-28 11:45:00,2024-01-28 12:19,Delayed,Technical Issue,1,7443,0
Debit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-28 15:30:00,2024-01-28 17:45:00,2024-01-28 18:13,Delayed,Staff-Related,1,7480,0
Debit Card,None,Standard,Off-Peak,43,Edinburgh Waverley,London Kings Cross,2024-01-28 15:30:00,2024-01-28 19:50:00,2024-01-28 19:52,Delayed,Staff-Related,1,7483,0
Credit Card,None,First Class,Off-Peak,6,Birmingham New Street,Coventry,2024-01-28 18:45:00,2024-01-28 19:05:00,,Cancelled,Traffic,0,7507,0
Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 18:45:00,2024-01-28 19:15:00,,Cancelled,Staff-Related,0,7513,0
Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 18:45:00,2024-01-28 19:15:00,,Cancelled,Staff-Related,0,7518,0
Debit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-01-29 17:30:00,2024-01-29 19:45:00,2024-01-29 19:56,Delayed,Technical Issue,1,7536,0
Debit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-01-29 17:30:00,2024-01-29 19:45:00,2024-01-29 19:56,Delayed,Technical Issue,1,7538,0
Credit Card,Senior,Standard,Off-Peak,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 18:45:00,2024-01-28 19:15:00,,Cancelled,Staff-Related,1,7542,0
Credit Card,Senior,Standard,Off-Peak,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-28 18:45:00,2024-01-28 19:15:00,,Cancelled,Staff-Related,0,7543,0
Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-30 23:30:00,2024-01-30 00:00:00,,Cancelled,Traffic,1,7607,0
Credit Card,Disabled,Standard,Off-Peak,13,London Paddington,Reading,2024-01-29 04:15:00,2024-01-29 05:15:00,2024-01-29 05:37,Delayed,Staff-Related,0,7621,1
Debit Card,Senior,Standard,Off-Peak,76,Liverpool Lime Street,London Euston,2024-01-29 09:30:00,2024-01-29 11:45:00,2024-01-29 12:00,Delayed,Traffic,1,7635,0
Credit Card,Disabled,Standard,Anytime,29,Birmingham New Street,London St Pancras,2024-01-29 06:30:00,2024-01-29 07:50:00,,Cancelled,Weather,0,7644,1
Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-01-29 06:30:00,2024-01-29 07:50:00,,Cancelled,Signal Failure,1,7646,1
Credit Card,Disabled,Standard,Anytime,29,Birmingham New Street,London St Pancras,2024-01-29 06:30:00,2024-01-29 07:50:00,,Cancelled,Weather,0,7649,1
Contactless,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-01-29 06:30:00,2024-01-29 07:50:00,,Cancelled,Signal Failure,0,7650,1
Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-01-29 06:30:00,2024-01-29 07:50:00,,Cancelled,Signal Failure,0,7651,1
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-29 08:00:00,2024-01-29 10:15:00,2024-01-29 11:06,Delayed,Weather,0,7670,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-29 08:00:00,2024-01-29 10:15:00,2024-01-29 11:06,Delayed,Weather,0,7671,0
Credit Card,None,First Class,Anytime,235,Liverpool Lime Street,London Euston,2024-01-29 08:00:00,2024-01-29 10:15:00,2024-01-29 11:06,Delayed,Weather,0,7672,0
Contactless,Disabled,Standard,Anytime,47,London Kings Cross,York,2024-01-29 08:45:00,2024-01-29 10:35:00,,Cancelled,Weather,1,7676,0
Debit Card,None,Standard,Advance,72,London Euston,Manchester Piccadilly,2024-01-30 06:30:00,2024-01-30 08:20:00,,Cancelled,Staff-Related,1,7696,0
Credit Card,None,Standard,Advance,18,London Paddington,Oxford,2024-01-30 07:45:00,2024-01-30 09:15:00,,Cancelled,Traffic,1,7707,1
Credit Card,None,Standard,Advance,18,London Paddington,Oxford,2024-01-30 07:45:00,2024-01-30 09:15:00,,Cancelled,Traffic,0,7710,1
Credit Card,None,Standard,Advance,21,Birmingham New Street,London Euston,2024-01-30 08:00:00,2024-01-30 09:20:00,2024-01-30 09:47,Delayed,Weather,0,7717,1
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-13 08:00:00,2024-02-13 10:15:00,2024-02-13 11:04,Delayed,Weather,0,7718,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-30 08:00:00,2024-01-30 10:15:00,2024-01-30 10:56,Delayed,Weather,0,7721,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-03 08:00:00,2024-02-03 10:15:00,2024-02-03 10:57,Delayed,Weather,0,7724,0
Debit Card,Adult,Standard,Off-Peak,11,Birmingham New Street,Manchester Piccadilly,2024-01-29 11:15:00,2024-01-29 12:35:00,2024-01-29 12:39,Delayed,Technical Issue,1,7739,1
Debit Card,Adult,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-30 11:15:00,2024-01-30 11:45:00,2024-01-30 11:49,Delayed,Technical Issue,1,7748,0
Contactless,None,Standard,Advance,35,London Kings Cross,York,2024-01-30 11:00:00,2024-01-30 12:50:00,,Cancelled,Staff-Related,1,7753,0
Credit Card,Disabled,Standard,Advance,8,London Paddington,Reading,2024-02-01 12:45:00,2024-02-01 13:45:00,,Cancelled,Staff-Related,1,7767,0
Debit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-29 15:30:00,2024-01-29 17:45:00,2024-01-29 17:56,Delayed,Staff-Related,1,7784,0
Debit Card,None,Standard,Advance,29,Edinburgh Waverley,London Kings Cross,2024-01-30 15:30:00,2024-01-30 19:50:00,2024-01-30 19:57,Delayed,Staff-Related,1,7799,1
Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-01-30 14:45:00,2024-01-30 16:05:00,,Cancelled,Technical Issue,1,7803,0
Credit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-01-30 15:45:00,2024-01-30 17:05:00,,Cancelled,Signal Failure,0,7810,0
Credit Card,None,First Class,Advance,57,London Kings Cross,York,2024-01-30 16:00:00,2024-01-30 17:50:00,,Cancelled,Technical Issue,0,7828,0
Debit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-01-30 17:30:00,2024-01-30 19:45:00,2024-01-30 19:48,Delayed,Technical Issue,1,7839,0
Debit Card,Adult,Standard,Advance,56,Manchester Piccadilly,London Euston,2024-01-30 17:30:00,2024-01-30 19:20:00,2024-01-30 19:31,Delayed,Technical Issue,1,7841,0
Credit Card,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-30 18:45:00,2024-01-30 19:15:00,,Cancelled,Staff-Related,1,7858,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-30 17:45:00,2024-01-30 18:15:00,2024-01-30 19:21,Delayed,Signal Failure,0,7860,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-30 17:45:00,2024-01-30 18:15:00,2024-01-30 19:21,Delayed,Signal Failure,0,7861,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-30 17:45:00,2024-01-30 18:15:00,2024-01-30 19:21,Delayed,Signal Failure,0,7862,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-30 17:45:00,2024-01-30 18:15:00,2024-01-30 19:21,Delayed,Signal Failure,0,7863,0
Credit Card,None,Standard,Advance,35,London Kings Cross,York,2024-01-30 17:45:00,2024-01-30 19:35:00,2024-01-30 19:56,Delayed,Signal Failure,0,7872,0
Contactless,None,Standard,Advance,35,London Kings Cross,York,2024-01-30 17:45:00,2024-01-30 19:35:00,2024-01-30 19:56,Delayed,Signal Failure,0,7876,0
Contactless,None,Standard,Advance,35,London Kings Cross,York,2024-01-30 17:45:00,2024-01-30 19:35:00,2024-01-30 19:56,Delayed,Signal Failure,0,7878,0
Credit Card,None,Standard,Advance,37,London Euston,York,2024-01-30 00:00:00,2024-01-30 01:50:00,2024-01-30 02:24,Delayed,Signal Failure,0,7891,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-30 08:00:00,2024-01-30 10:15:00,2024-01-30 10:56,Delayed,Weather,0,7939,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-30 08:00:00,2024-01-30 10:15:00,2024-01-30 10:56,Delayed,Weather,0,7940,0
Credit Card,None,Standard,Anytime,168,Manchester Piccadilly,London Euston,2024-01-30 08:00:00,2024-01-30 09:50:00,2024-01-30 10:00,Delayed,Weather,0,7941,0
Credit Card,None,Standard,Anytime,35,London Paddington,Oxford,2024-01-30 07:45:00,2024-01-30 09:15:00,,Cancelled,Traffic,0,7947,0
Credit Card,None,Standard,Anytime,35,London Paddington,Oxford,2024-01-30 07:45:00,2024-01-30 09:15:00,,Cancelled,Traffic,0,7949,0
Credit Card,None,Standard,Advance,35,London Kings Cross,York,2024-02-02 07:30:00,2024-02-02 09:20:00,,Cancelled,Weather,0,7954,0
Contactless,None,Standard,Advance,13,London Paddington,Reading,2024-02-17 09:00:00,2024-02-17 10:00:00,,Cancelled,Staff-Related,0,7962,1
Contactless,Adult,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-01-30 15:45:00,2024-01-30 17:05:00,,Cancelled,Signal Failure,0,7978,0
Contactless,Adult,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-01-30 15:45:00,2024-01-30 17:05:00,,Cancelled,Signal Failure,0,7979,0
Credit Card,Disabled,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-01-30 15:45:00,2024-01-30 17:05:00,,Cancelled,Signal Failure,1,7980,0
Credit Card,Adult,Standard,Anytime,47,London Kings Cross,York,2024-01-30 16:00:00,2024-01-30 17:50:00,,Cancelled,Technical Issue,1,7981,0
Credit Card,Adult,Standard,Anytime,47,London Kings Cross,York,2024-01-30 16:00:00,2024-01-30 17:50:00,,Cancelled,Technical Issue,0,7984,0
Debit Card,None,Standard,Off-Peak,31,Birmingham New Street,London Euston,2024-01-30 15:30:00,2024-01-30 16:50:00,2024-01-30 16:57,Delayed,Staff-Related,1,7987,0
Contactless,None,Standard,Anytime,70,London Kings Cross,York,2024-01-30 17:45:00,2024-01-30 19:35:00,2024-01-30 19:56,Delayed,Signal Failure,0,7988,0
Contactless,None,Standard,Anytime,41,Birmingham New Street,London Euston,2024-01-30 17:00:00,2024-01-30 18:20:00,,Cancelled,Staff-Related,0,7989,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-30 17:45:00,2024-01-30 18:15:00,2024-01-30 19:21,Delayed,Signal Failure,0,7995,0
Contactless,None,First Class,Anytime,114,London Kings Cross,York,2024-01-30 17:45:00,2024-01-30 19:35:00,2024-01-30 19:56,Delayed,Signal Failure,1,7996,0
Credit Card,None,First Class,Advance,59,London Euston,York,2024-01-31 00:00:00,2024-01-31 01:50:00,2024-01-31 02:36,Delayed,Signal Failure,0,8033,0
Credit Card,None,First Class,Off-Peak,200,Manchester Piccadilly,London Euston,2024-01-31 03:30:00,2024-01-31 05:20:00,2024-01-31 06:07,Delayed,Weather,0,8075,0
Contactless,None,Standard,Advance,8,York,Durham,2024-02-01 01:45:00,2024-02-01 02:35:00,,Cancelled,Staff-Related,1,8083,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-31 08:00:00,2024-01-31 10:15:00,2024-01-31 10:30,Delayed,Signal Failure,0,8152,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-31 08:00:00,2024-01-31 10:15:00,2024-01-31 10:30,Delayed,Signal Failure,0,8153,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-31 08:00:00,2024-01-31 10:15:00,2024-01-31 10:30,Delayed,Signal Failure,0,8154,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-31 08:00:00,2024-01-31 10:15:00,2024-01-31 10:30,Delayed,Signal Failure,0,8156,0
Credit Card,None,Standard,Anytime,168,Manchester Piccadilly,London Euston,2024-01-31 08:00:00,2024-01-31 09:50:00,2024-01-31 10:06,Delayed,Weather,0,8159,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-31 08:00:00,2024-01-31 10:15:00,2024-01-31 10:30,Delayed,Signal Failure,0,8160,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-31 08:00:00,2024-01-31 10:15:00,2024-01-31 10:30,Delayed,Signal Failure,0,8161,0
Contactless,Disabled,Standard,Advance,8,London Paddington,Reading,2024-02-01 05:30:00,2024-02-01 06:30:00,2024-02-01 07:20,Delayed,Staff-Related,0,8170,0
Credit Card,None,Standard,Anytime,35,London Paddington,Oxford,2024-01-31 07:45:00,2024-01-31 09:15:00,,Cancelled,Weather,0,8174,0
Credit Card,None,Standard,Anytime,35,London Paddington,Oxford,2024-01-31 07:45:00,2024-01-31 09:15:00,,Cancelled,Weather,0,8177,0
Credit Card,None,Standard,Anytime,35,London Paddington,Oxford,2024-01-31 07:45:00,2024-01-31 09:15:00,,Cancelled,Weather,0,8183,0
Credit Card,None,Standard,Anytime,35,London Paddington,Oxford,2024-01-31 07:45:00,2024-01-31 09:15:00,,Cancelled,Weather,1,8184,0
Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-02-21 07:45:00,2024-02-21 08:45:00,,Cancelled,Weather,0,8215,1
Credit Card,Adult,Standard,Off-Peak,35,London Kings Cross,York,2024-01-31 09:45:00,2024-01-31 11:35:00,2024-01-31 11:36,Delayed,Signal Failure,0,8216,0
Contactless,Adult,Standard,Off-Peak,35,London Kings Cross,York,2024-01-31 09:45:00,2024-01-31 11:35:00,2024-01-31 11:36,Delayed,Signal Failure,0,8217,0
Credit Card,Disabled,Standard,Advance,7,York,Wakefield,2024-02-01 07:30:00,2024-02-01 07:55:00,2024-02-01 07:57,Delayed,Staff-Related,0,8233,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-01 08:00:00,2024-02-01 10:15:00,2024-02-01 11:08,Delayed,Weather,0,8237,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-01 08:00:00,2024-02-01 10:15:00,2024-02-01 11:08,Delayed,Weather,0,8238,0
Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-31 11:00:00,2024-01-31 11:30:00,2024-01-31 11:59,Delayed,Staff-Related,0,8240,0
Contactless,Adult,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-02-01 09:00:00,2024-02-01 09:30:00,2024-02-01 11:44,Delayed,Signal Failure,0,8254,0
Debit Card,Adult,First Class,Off-Peak,29,Birmingham New Street,Manchester Piccadilly,2024-01-31 11:15:00,2024-01-31 12:35:00,2024-01-31 12:53,Delayed,Technical Issue,1,8258,1
Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-02-03 10:45:00,2024-02-03 12:05:00,,Cancelled,Signal Failure,1,8279,0
Contactless,None,Standard,Off-Peak,19,London Paddington,Reading,2024-01-31 15:00:00,2024-01-31 16:00:00,2024-01-31 16:53,Delayed,Technical Issue,0,8291,1
Credit Card,None,First Class,Off-Peak,41,London Paddington,Reading,2024-01-31 15:00:00,2024-01-31 16:00:00,2024-01-31 16:53,Delayed,Technical Issue,0,8294,0
Credit Card,Disabled,Standard,Advance,8,London Paddington,Reading,2024-02-01 12:45:00,2024-02-01 13:45:00,,Cancelled,Staff-Related,0,8301,0
Contactless,Adult,First Class,Off-Peak,52,London Euston,Birmingham New Street,2024-01-31 15:45:00,2024-01-31 17:05:00,,Cancelled,Signal Failure,0,8302,0
Credit Card,Disabled,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-01-31 15:45:00,2024-01-31 17:05:00,,Cancelled,Signal Failure,0,8303,0
Debit Card,None,Standard,Off-Peak,126,Manchester Piccadilly,London Euston,2024-01-31 15:30:00,2024-01-31 17:20:00,2024-01-31 17:36,Delayed,Staff-Related,1,8330,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-31 17:45:00,2024-01-31 18:15:00,2024-01-31 19:24,Delayed,Traffic,0,8332,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-31 17:45:00,2024-01-31 18:15:00,2024-01-31 19:24,Delayed,Traffic,0,8334,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-31 17:45:00,2024-01-31 18:15:00,2024-01-31 19:24,Delayed,Traffic,0,8347,0
Credit Card,None,First Class,Anytime,19,Manchester Piccadilly,Liverpool Lime Street,2024-01-31 17:45:00,2024-01-31 18:15:00,2024-01-31 19:24,Delayed,Traffic,0,8348,1
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-31 17:45:00,2024-01-31 18:15:00,2024-01-31 19:24,Delayed,Traffic,0,8349,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-31 17:45:00,2024-01-31 18:15:00,2024-01-31 19:24,Delayed,Traffic,0,8350,0
Credit Card,None,First Class,Anytime,19,Manchester Piccadilly,Liverpool Lime Street,2024-01-31 17:45:00,2024-01-31 18:15:00,2024-01-31 19:24,Delayed,Traffic,0,8351,1
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-31 17:45:00,2024-01-31 18:15:00,2024-01-31 19:24,Delayed,Traffic,0,8353,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-31 17:45:00,2024-01-31 18:15:00,2024-01-31 19:24,Delayed,Traffic,0,8356,0
Contactless,None,First Class,Advance,27,London Paddington,Reading,2024-02-01 15:00:00,2024-02-01 16:00:00,2024-02-01 16:45,Delayed,Technical Issue,0,8360,1
Debit Card,Adult,Standard,Anytime,101,Liverpool Lime Street,London Euston,2024-01-31 17:30:00,2024-01-31 19:45:00,2024-01-31 20:00,Delayed,Technical Issue,1,8364,0
Debit Card,Adult,Standard,Anytime,112,Manchester Piccadilly,London Euston,2024-01-31 17:30:00,2024-01-31 19:20:00,2024-01-31 19:38,Delayed,Technical Issue,1,8365,0
Debit Card,Adult,Standard,Anytime,112,Manchester Piccadilly,London Euston,2024-01-31 17:30:00,2024-01-31 19:20:00,2024-01-31 19:38,Delayed,Technical Issue,1,8366,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-03 17:45:00,2024-02-03 18:15:00,,Cancelled,Signal Failure,0,8427,0
Credit Card,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-01-31 21:15:00,2024-01-31 22:35:00,,Cancelled,Signal Failure,0,8431,0
Credit Card,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-01-31 21:15:00,2024-01-31 22:35:00,,Cancelled,Signal Failure,0,8433,0
Contactless,None,Standard,Advance,35,London Kings Cross,York,2024-02-01 01:00:00,2024-02-01 02:50:00,,Cancelled,Technical Issue,1,8462,0
Contactless,None,Standard,Off-Peak,11,York,Durham,2024-02-01 01:45:00,2024-02-01 02:35:00,,Cancelled,Staff-Related,0,8466,1
Contactless,None,Standard,Off-Peak,11,York,Durham,2024-02-01 01:45:00,2024-02-01 02:35:00,,Cancelled,Staff-Related,0,8468,1
Credit Card,None,Standard,Off-Peak,17,Manchester Piccadilly,Nottingham,2024-02-01 02:00:00,2024-02-01 03:00:00,,Cancelled,Signal Failure,1,8472,1
